c_TipoDeduccion,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia,,
001,Seguridad social,01/11/16,,,
002,ISR,01/11/16,,,
003,"Aportaciones a retiro, cesantía en edad avanzada y vejez.",01/11/16,,,
004,Otros,01/11/16,,,
005,Aportaciones a Fondo de vivienda,01/11/16,,,
006,Descuento por incapacidad,01/11/16,,,
007,Pensión alimenticia,01/11/16,,,
008,Renta,01/11/16,,,
009,Préstamos provenientes del Fondo Nacional de la Vivienda para los Trabajadores,01/11/16,,,
010,Pago por crédito de vivienda,01/11/16,,,
011,Pago de abonos INFONACOT,01/11/16,,,
012,Anticipo de salarios,01/11/16,,,
013,Pagos hechos con exceso al trabajador,01/11/16,,,
014,Errores,01/11/16,,,
015,Pérdidas,01/11/16,,,
016,Averías,01/11/16,,,
017,Adquisición de artículos producidos por la empresa o establecimiento,01/11/16,,,
018,Cuotas para la constitución y fomento de sociedades cooperativas y de cajas de ahorro,01/11/16,,,
019,Cuotas sindicales,01/11/16,,,
020,Ausencia (Ausentismo),01/11/16,,,
021,Cuotas obrero patronales,01/11/16,,,
022,Impuestos Locales,01/11/16,,,
023,Aportaciones voluntarias,01/11/16,,,
024,Ajuste en Gratificación Anual (Aguinaldo) Exento,06/01/17,,,
025,Ajuste en Gratificación Anual (Aguinaldo) Gravado,06/01/17,,,
026,Ajuste en Participación de los Trabajadores en las Utilidades PTU Exento,06/01/17,,,
027,Ajuste en Participación de los Trabajadores en las Utilidades PTU Gravado,06/01/17,,,
028,Ajuste en Reembolso de Gastos Médicos Dentales y Hospitalarios Exento,06/01/17,,,
029,Ajuste en Fondo de ahorro Exento,06/01/17,,,
030,Ajuste en Caja de ahorro Exento,06/01/17,,,
031,Ajuste en Contribuciones a Cargo del Trabajador Pagadas por el Patrón Exento,06/01/17,,,
032,Ajuste en Premios por puntualidad Gravado,06/01/17,,,
033,Ajuste en Prima de Seguro de vida Exento,06/01/17,,,
034,Ajuste en Seguro de Gastos Médicos Mayores Exento,06/01/17,,,
035,Ajuste en Cuotas Sindicales Pagadas por el Patrón Exento,06/01/17,,,
036,Ajuste en Subsidios por incapacidad Exento,06/01/17,,,
037,Ajuste en Becas para trabajadores y/o hijos Exento,06/01/17,,,
038,Ajuste en Horas extra Exento,06/01/17,,,
039,Ajuste en Horas extra Gravado,06/01/17,,,
040,Ajuste en Prima dominical Exento,06/01/17,,,
041,Ajuste en Prima dominical Gravado,06/01/17,,,
042,Ajuste en Prima vacacional Exento,06/01/17,,,
043,Ajuste en Prima vacacional Gravado,06/01/17,,,
044,Ajuste en Prima por antigüedad Exento,06/01/17,,,
045,Ajuste en Prima por antigüedad Gravado,06/01/17,,,
046,Ajuste en Pagos por separación Exento,06/01/17,,,
047,Ajuste en Pagos por separación Gravado,06/01/17,,,
048,Ajuste en Seguro de retiro Exento,06/01/17,,,
049,Ajuste en Indemnizaciones Exento,06/01/17,,,
050,Ajuste en Indemnizaciones Gravado,06/01/17,,,
051,Ajuste en Reembolso por funeral Exento,06/01/17,,,
052,Ajuste en Cuotas de seguridad social pagadas por el patrón Exento,06/01/17,,,
053,Ajuste en Comisiones Gravado,06/01/17,,,
054,Ajuste en Vales de despensa Exento,06/01/17,,,
055,Ajuste en Vales de restaurante Exento,06/01/17,,,
056,Ajuste en Vales de gasolina Exento,06/01/17,,,
057,Ajuste en Vales de ropa Exento,06/01/17,,,
058,Ajuste en Ayuda para renta Exento,06/01/17,,,
059,Ajuste en Ayuda para artículos escolares Exento,06/01/17,,,
060,Ajuste en Ayuda para anteojos Exento,06/01/17,,,
061,Ajuste en Ayuda para transporte Exento,06/01/17,,,
062,Ajuste en Ayuda para gastos de funeral Exento,06/01/17,,,
063,Ajuste en Otros ingresos por salarios Exento,06/01/17,,,
064,Ajuste en Otros ingresos por salarios Gravado,06/01/17,,,
065,"Ajuste en Jubilaciones, pensiones o haberes de retiro Exento",06/01/17,,,
066,"Ajuste en Jubilaciones, pensiones o haberes de retiro Gravado",06/01/17,,,
067,Ajuste en Pagos por separación Acumulable,06/01/17,,,
068,Ajuste en Pagos por separación No acumulable,06/01/17,,,
069,"Ajuste en Jubilaciones, pensiones o haberes de retiro Acumulable",06/01/17,,,
070,"Ajuste en Jubilaciones, pensiones o haberes de retiro No acumulable",06/01/17,,,
071,Ajuste en Subsidio para el empleo (efectivamente entregado al trabajador),06/01/17,,,
072,Ajuste en Ingresos en acciones o títulos valor que representan bienes Exento,06/01/17,,,
073,Ajuste en Ingresos en acciones o títulos valor que representan bienes Gravado,06/01/17,,,
074,Ajuste en Alimentación Exento,06/01/17,,,
075,Ajuste en Alimentación Gravado,06/01/17,,,
076,Ajuste en Habitación Exento,06/01/17,,,
077,Ajuste en Habitación Gravado,06/01/17,,,
078,Ajuste en Premios por asistencia,06/01/17,,,
079,"Ajuste en Pagos distintos a los listados y que no deben considerarse como ingreso por sueldos, salarios o ingresos asimilados.",06/01/17,,,
080,Ajuste en Viáticos gravados,06/01/17,,,
081,Ajuste en Viáticos (entregados al trabajador),06/01/17,,,
082,Ajuste en Fondo de ahorro Gravado,06/01/17,,,
083,Ajuste en Caja de ahorro Gravado,06/01/17,,,
084,Ajuste en Prima de Seguro de vida Gravado,06/01/17,,,
085,Ajuste en Seguro de Gastos Médicos Mayores Gravado,06/01/17,,,
086,Ajuste en Subsidios por incapacidad Gravado,06/01/17,,,
087,Ajuste en Becas para trabajadores y/o hijos Gravado,06/01/17,,,
088,Ajuste en Seguro de retiro Gravado,06/01/17,,,
089,Ajuste en Vales de despensa Gravado,06/01/17,,,
090,Ajuste en Vales de restaurante Gravado,06/01/17,,,
091,Ajuste en Vales de gasolina Gravado,06/01/17,,,
092,Ajuste en Vales de ropa Gravado,06/01/17,,,
093,Ajuste en Ayuda para renta Gravado,06/01/17,,,
094,Ajuste en Ayuda para artículos escolares Gravado,06/01/17,,,
095,Ajuste en Ayuda para anteojos Gravado,06/01/17,,,
096,Ajuste en Ayuda para transporte Gravado,06/01/17,,,
097,Ajuste en Ayuda para gastos de funeral Gravado,06/01/17,,,
098,Ajuste a ingresos asimilados a salarios gravados,06/01/17,,,
099,Ajuste a ingresos por sueldos y salarios gravados,06/01/17,,,
100,Ajuste en Viáticos exentos,06/01/17,,,
