c_TipoPercepcion,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia
001,"Sueldos, Salarios  Rayas y Jornales",01/11/16,
002,Gratificación Anual (Aguinaldo),01/11/16,
003,Participación de los Trabajadores en las Utilidades PTU,01/11/16,
004,Reembolso de Gastos Médicos Dentales y Hospitalarios,01/11/16,
005,Fondo de Ahorro,01/11/16,
006,Caja de ahorro,01/11/16,
009,Contribuciones a Cargo del Trabajador Pagadas por el Patrón,01/11/16,
010,Premios por puntualidad,01/11/16,
011,Prima de Seguro de vida,01/11/16,
012,Seguro de Gastos Médicos Mayores,01/11/16,
013,Cuotas Sindicales Pagadas por el Patrón,01/11/16,
014,Subsidios por incapacidad,01/11/16,
015,Becas para trabajadores y/o hijos,01/11/16,
019,Horas extra,01/11/16,
020,Prima dominical,01/11/16,
021,Prima vacacional,01/11/16,
022,Prima por antigüedad,01/11/16,
023,Pagos por separación,01/11/16,
024,Seguro de retiro,01/11/16,
025,Indemnizaciones,01/11/16,
026,Reembolso por funeral,01/11/16,
027,Cuotas de seguridad social pagadas por el patrón,01/11/16,
028,Comisiones,01/11/16,
029,Vales de despensa,01/11/16,
030,Vales de restaurante,01/11/16,
031,Vales de gasolina,01/11/16,
032,Vales de ropa,01/11/16,
033,Ayuda para renta,01/11/16,
034,Ayuda para artículos escolares,01/11/16,
035,Ayuda para anteojos,01/11/16,
036,Ayuda para transporte,01/11/16,
037,Ayuda para gastos de funeral,01/11/16,
038,Otros ingresos por salarios,01/11/16,
039,"Jubilaciones, pensiones o haberes de retiro",01/11/16,
044,"Jubilaciones, pensiones o haberes de retiro en parcialidades",01/11/16,
045,Ingresos en acciones o títulos valor que representan bienes,01/11/16,
 046,Ingresos asimilados a salarios,01/11/16,
 047,Alimentación,01/11/16,
048,Habitación,01/11/16,
049,Premios por asistencia,01/11/16,
050,Viáticos,06/01/17,
